"","Especie","Peso","LargoDePico","IMC"
"1","WB.SPARW",40,10.6,0.265
"2","WB.SPARW",43,10.8,0.251162790697674
"3","WB.SPARW",37,10.9,0.294594594594595
"4","WB.SPARW",38,11.3,0.297368421052632
"5","WB.SPARW",43,10.9,0.253488372093023
"6","WB.SPARW",33,10.1,0.306060606060606
"7","WB.SPARW",35,10.7,0.305714285714286
"8","WB.SPARW",37,10.7,0.289189189189189
"9","WB.SPARW",36,10.9,0.302777777777778
"10","WB.SPARW",42,11.4,0.271428571428571
"11","WB.SPARW",36,10.8,0.3
"12","WB.SPARW",36,11.2,0.311111111111111
"13","WB.SPARW",39,10.7,0.274358974358974
"14","WB.SPARW",37,10,0.27027027027027
"15","WB.SPARW",34,10.1,0.297058823529412
"16","WB.SPARW",41,10.7,0.260975609756098
"17","CRU.WAXB",8,8.2,1.025
"18","CRU.WAXB",8,7.2,0.9
"19","CRU.WAXB",8,7.3,0.9125
"20","CRU.WAXB",8,7.2,0.9
"21","CRU.WAXB",8,7.7,0.9625
"22","CRU.WAXB",8,7.4,0.925
"23","CRU.WAXB",8,7.6,0.95
"24","CRU.WAXB",6,6.9,1.15
"25","CRU.WAXB",7,7.9,1.12857142857143
"26","CRU.WAXB",7,6.7,0.957142857142857
"27","CRU.WAXB",7,7,1
"28","CRU.WAXB",8,7.3,0.9125
"29","CRU.WAXB",8,7.8,0.975
"30","CRU.WAXB",8,7.1,0.8875
