Territory Number,Overheight,canopycover,Underheight,alldecwoody,year,plot
1,14,0.2,102.375,0.45,2009,TPPS
2,19.33333333,0.15,55.10526316,0.35,2009,TPPS
3,13,0.15,112.75,0.85,2011,TPPW
4,14.5,0.1,133.1,0.9,2010,TPPE
5,14.5,0.1,97.57894737,0.65,2010,TPPW
6,9.625,0.2,53.95,0.3,2009,TPPE
7,11,0.1,32.93333333,0.2,2011,PLW
8,16,0.15,90.8,0.9,2010,TPPW/part of SOB
9,11,0.05,132.1,0.95,2010,SOE
10,13.85714286,0.35,91.55555556,0.3,2009,PLW
11,17,0.25,126.1666667,0.6,2009,TPPE
12,3.5,0.05,116.5,0.95,2010,SOE
13,8,0.05,66.89473684,0.4,2009,PLE
14,9,0.15,115.1052632,0.8,2010,TPPE
15,8.5,0.1,86.47368421,0.75,2010,SOB
16,8.866666667,0.3,122.5882353,0.5,2011,TPPE
17,24.5,0.4,82.6,0.45,2009,TPPS
18,8,0.05,136.05,1,2009,SOE
19,18.66666667,0.15,68.375,0.45,2009,TPPS
20,18.75,0.2,42.26315789,0.35,2009,TPPS
21,18.91666667,0.3,52,0.25,2009,TPPE
22,9,0.05,124.05,0.75,2010,TPPW
23,NaN,0,74.125,0.35,2010,PLW
24,9.5,0.2,97.6875,0.55,2010,TPPW
25,15.5,0.2,70.35294118,0.3,2009,TPPE
26,9.2,0.238095238,74.55555556,0.2,2009,PLE
27,22,0.25,88.82352941,0.5,2009,PLE
28,14.6,0.25,72.94117647,0.45,2009,TPPE
29,13.66666667,0.3,53.23529412,0.35,2009,TPPE
30,16.75,0.2,52,0.25,2009,PLW
31,NaN,0,81,0.1,2010,PLE
32,15,0.05,98.88888889,0.55,2009,TPPS
33,10.25,0.2,80.05263158,0.45,2010,PLW
34,8,0.1,72.75,0.65,2009,TPPS
35,11.83333333,0.3,69.15,0.55,2010,TPPS
36,10.42857143,0.35,131.1176471,0.6,2010,TPPE
37,9,0.1,86.55555556,0.6,2010,TPPW
38,8.366666667,0.45,192.6470588,0.7,2012,TPPE
39,16.375,0.4,102,0.4,2012,TPPE
40,15.33333333,0.3,86.84210526,0.85,2010,TPPW
41,16.4,0.5,100.8125,0.65,2009,PLW
42,11.375,0.2,92.23529412,0.4,2012,TPPE
43,16.5,0.2,76.16666667,0.55,2010,PLE/TPP lodge
44,16.5,0.1,47.6,0.4,2009,TPPS
45,9.666666667,0.15,103,0.6,2010,TPPE
46,6.25,0.1,134.3,0.95,2010,SOE
47,6,0.05,78.6,0.25,2009,PLE
48,7,0.1,106.4444444,0.65,2010,TPPE
49,10.6,0.25,90,0.5,2009,TPPE
50,13,0.3,96.83333333,0.45,2010,TPPE
51,11,0.05,172.1,0.95,2009,SOB
52,16.5,0.1,86.3,0.6,2009,TPPS
53,10.7,0.25,149.05,0.7,2011,TPPE
54,6.75,0.1,120.1,0.7,2010,TPPE
55,18.5,0.1,43.25,0.25,2009,TPPW/Main PL
56,8,0.05,49.73333333,0.15,2009,PLE/TPPE
57,NaN,0,70.05882353,0.4,2009,PLW
58,NaN,0.15,87.84210526,0.8,2010,TPPW
59,7.7,0.25,73.11111111,0.3,2010,PLE
60,18.5,0.1,94.16666667,0.45,2010,TPPE
61,18.1,0.263157895,26.18181818,0.05,2009,TPPE
62,19,0.15,86.17647059,0.65,2009,TPPW
63,5,0.05,61.16666667,0.5,2011,PLW
